Student ID,School ID,School Name,Age at Enrollment,Gender,SES Quintile,SES Label,Household Size Index,Commute Distance (km),Digital Access,Digital Access Score,School Feeding,GPA Trend,Failed Subjects,Science Strength,Chronic Health Risk,Health Absences (days),Social Integration Score,Cash Flow Volatility,Academic Catch-up Flag,Counseling Access,Retained,Retained Flag,Dropout Reason,Risk Persona,Academic Risk Index,Barrier Burden Index,Economic Instability Index,Health Burden Index,Support Coverage Score,Long Commute Flag,High Academic Risk Flag,No Digital Access Flag,Recommended Intervention,Recommended Cost (KES),Sponsor Priority Score,Model Risk Score (oracle)
525,5,Nakuru Valley Secondary,14,Boy,3,Q3 — Middle,6,3.69,No access,0.0,Yes,-0.526,1,No,Low,11,0,,No,No,Yes,1,Still enrolled,Academic Strugglers,1.526,1.784,,11,1.0,No,No,Yes,,,,0.9571
526,9,Kakamega Forest Secondary,15,Boy,1,Q1 — Lowest,6,5.9,No access,0.0,Yes,-1.195,2,No,Moderate,9,2,0.3,No,No,Yes,1,Still enrolled,Academic Strugglers,3.195,2.295,0.55,18,1.0,No,No,Yes,School Fee Support,15000.0,3.339,0.9338
527,9,Kakamega Forest Secondary,16,Boy,1,Q1 — Lowest,4,1.34,Shared device,1.0,Yes,-1.578,1,No,Low,3,2,0.258,No,No,Yes,1,Still enrolled,Academic Strugglers,2.578,1.567,0.508,3,1.5,No,No,No,School Fee Support,15000.0,2.292,0.9656
528,16,Kericho Highlands Secondary,16,Boy,4,Q4 — High,6,11.45,Shared device,1.0,Yes,-0.585,2,No,Moderate,11,0,0.225,No,Yes,Yes,1,Still enrolled,Stable Achievers,2.585,1.472,0.325,22,2.5,Yes,No,No,,,,0.8968
529,6,Mombasa Coast Secondary,15,Girl,4,Q4 — High,4,5.79,No access,0.0,No,-0.465,1,No,Moderate,7,1,0.239,No,Yes,Yes,1,Still enrolled,Stable Achievers,1.465,1.69,0.339,14,1.0,No,No,Yes,,,,0.9528
530,13,Meru Mountain Secondary,17,Boy,2,Q2 — Low,4,3.29,No access,0.0,Yes,-1.498,1,No,Low,4,1,0.244,No,Yes,Yes,1,Still enrolled,Academic Strugglers,2.498,1.964,0.444,4,2.0,No,No,Yes,,,,0.9437
531,17,Malindi Shore Secondary,16,Girl,4,Q4 — High,7,6.28,Personal device,2.0,Yes,-0.446,1,No,Low,7,1,0.228,No,,Yes,1,Still enrolled,Stable Achievers,1.446,0.714,0.328,7,,No,No,No,,,,0.9471
532,5,Nakuru Valley Secondary,15,Boy,2,Q2 — Low,8,16.15,No access,0.0,Yes,-1.992,3,No,Low,5,0,0.253,No,No,No,0,Commute Distance,Academic Strugglers,4.992,2.607,0.453,5,1.0,Yes,Yes,Yes,School Fee Support,15000.0,2.942,0.6131
533,16,Kericho Highlands Secondary,13,Girl,3,Q3 — Middle,4,,Shared device,1.0,Yes,0.424,1,No,Low,4,0,0.307,No,Yes,Yes,1,Still enrolled,Stable Achievers,0.576,,0.457,4,2.5,No,No,No,,,,0.9741
534,11,Kitale Plains Secondary,14,Girl,4,Q4 — High,5,1.62,Personal device,2.0,Yes,-0.421,1,No,Low,3,1,0.192,No,Yes,Yes,1,Still enrolled,Stable Achievers,1.421,0.481,0.292,3,3.0,No,No,No,,,,0.9952
535,5,Nakuru Valley Secondary,15,Boy,1,Q1 — Lowest,2,6.84,No access,0.0,Yes,-1.543,3,No,Low,7,1,0.254,No,No,Yes,1,Still enrolled,Academic Strugglers,4.543,2.342,0.504,7,1.0,No,Yes,Yes,School Fee Support,15000.0,2.799,0.8603
536,1,Kilimani Day Secondary,17,Boy,2,Q2 — Low,0,8.97,No access,0.0,No,-0.349,2,No,Low,4,1,0.23,No,No,Yes,1,Still enrolled,Academic Strugglers,2.349,2.249,0.43,4,0.0,Yes,No,Yes,,,,0.9431
537,18,Narok Savannah Secondary,15,Boy,2,Q2 — Low,4,4.87,,,Yes,-3.314,6,No,Moderate,16,1,0.32,Yes,Yes,No,0,Academic Performance,Health-Constrained,9.314,,0.52,32,,No,Yes,No,School Fee Support,15000.0,4.308,0.3496
538,18,Narok Savannah Secondary,13,Girl,3,Q3 — Middle,4,2.79,Shared device,1.0,Yes,0.292,0,No,Low,1,1,0.308,No,,Yes,1,Still enrolled,Stable Achievers,-0.292,1.24,0.458,1,,No,No,No,,,,0.9593
539,2,Nyandarua Mixed Secondary,14,Boy,1,Q1 — Lowest,4,7.46,No access,0.0,Yes,-2.649,4,No,Low,3,1,,Yes,No,No,0,Academic Performance,Academic Strugglers,6.649,2.373,,3,1.0,No,Yes,Yes,Academic Tutoring / Catch-up,8000.0,3.079,0.5669
540,11,Kitale Plains Secondary,15,Boy,3,Q3 — Middle,7,3.58,No access,0.0,No,-1.051,1,Yes,Low,6,0,0.255,No,Yes,Yes,1,Still enrolled,Academic Strugglers,2.051,1.779,0.405,6,1.0,No,No,Yes,,,,0.9447
541,2,Nyandarua Mixed Secondary,13,Girl,4,Q4 — High,7,1.99,Shared device,1.0,No,0.715,0,No,Low,3,1,,No,No,Yes,1,Still enrolled,Stable Achievers,-0.715,1.0,,3,0.5,No,No,No,,,,0.9719
542,1,Kilimani Day Secondary,17,Girl,1,Q1 — Lowest,7,1.65,No access,0.0,Yes,-0.276,1,No,Low,6,1,0.286,No,No,Yes,1,Still enrolled,Academic Strugglers,1.276,2.083,0.536,6,1.0,No,No,Yes,School Fee Support,15000.0,2.664,0.9663
543,2,Nyandarua Mixed Secondary,14,Boy,2,Q2 — Low,8,2.97,No access,0.0,No,-3.298,4,No,Moderate,15,1,0.222,Yes,No,No,0,Academic Performance,Health-Constrained,7.298,1.948,0.422,30,0.0,No,Yes,Yes,Health & Attendance Support,5000.0,2.881,0.5848
544,19,Isiolo North Secondary,16,Boy,1,Q1 — Lowest,8,3.84,No access,0.0,Yes,-2.654,2,No,High,15,0,0.304,No,Yes,Yes,1,Still enrolled,Health-Constrained,4.654,2.192,0.554,45,2.0,No,No,Yes,School Fee Support,15000.0,3.718,0.808
545,11,Kitale Plains Secondary,16,Boy,3,Q3 — Middle,4,15.35,,,Yes,-1.618,4,No,Low,3,1,0.287,Yes,No,Yes,1,Still enrolled,Academic Strugglers,5.618,,0.437,3,,Yes,Yes,No,Academic Tutoring / Catch-up,8000.0,2.811,0.7475
546,20,Busia Border Secondary,16,Boy,3,Q3 — Middle,5,0.61,No access,0.0,Yes,-1.552,2,No,Low,3,0,0.271,No,,Yes,1,Still enrolled,Academic Strugglers,3.552,1.63,0.421,3,,No,No,Yes,,,,0.9672
547,16,Kericho Highlands Secondary,15,Boy,3,Q3 — Middle,3,15.69,Shared device,1.0,No,-0.981,2,No,Low,7,2,0.302,No,No,No,0,Commute Distance,Academic Strugglers,2.981,1.885,0.452,7,0.5,Yes,No,No,School Fee Support,15000.0,2.578,0.6886
548,15,Embu Sunrise Secondary,15,Boy,3,Q3 — Middle,2,8.96,No access,0.0,No,-1.973,4,No,Moderate,10,1,,Yes,No,Yes,1,Still enrolled,Health-Constrained,5.973,2.048,,20,0.0,Yes,Yes,Yes,Academic Tutoring / Catch-up,8000.0,2.107,0.6533
549,3,Kisumu Lakeside Secondary,13,Boy,4,Q4 — High,6,5.83,No access,0.0,Yes,-1.207,1,No,Low,4,0,0.265,No,Yes,Yes,1,Still enrolled,Stable Achievers,2.207,1.691,0.365,4,2.0,No,No,Yes,,,,0.9597
550,9,Kakamega Forest Secondary,14,Girl,4,Q4 — High,3,2.29,Personal device,2.0,No,-0.962,1,No,High,10,1,0.201,No,Yes,Yes,1,Still enrolled,Stable Achievers,1.962,0.515,0.301,30,2.0,No,No,No,,,,0.9846
551,12,Garissa Horizon Secondary,15,Girl,1,Q1 — Lowest,10,4.18,No access,0.0,Yes,-2.096,3,No,Low,11,1,0.318,No,No,No,0,Household Pressure,Academic Strugglers,5.096,2.209,0.568,11,1.0,No,Yes,Yes,School Fee Support,15000.0,3.735,0.7528
552,12,Garissa Horizon Secondary,15,Girl,3,Q3 — Middle,4,20.0,Shared device,1.0,No,-1.503,3,No,Moderate,10,0,0.278,No,No,No,0,Commute Distance,Health-Constrained,4.503,2.1,0.428,20,0.5,Yes,Yes,No,School Fee Support,15000.0,2.343,0.5994
553,3,Kisumu Lakeside Secondary,17,Boy,3,Q3 — Middle,4,15.86,Shared device,1.0,Yes,-0.786,2,No,High,18,0,0.271,No,No,Yes,1,Still enrolled,Health-Constrained,2.786,1.893,0.421,54,1.5,Yes,No,No,Health & Attendance Support,5000.0,2.629,0.597
554,1,Kilimani Day Secondary,16,Boy,2,Q2 — Low,2,11.54,No access,0.0,Yes,-1.76,1,No,High,16,0,0.305,No,No,No,0,Health Related,Health-Constrained,2.76,2.377,0.505,48,1.0,Yes,No,Yes,School Fee Support,15000.0,3.442,0.7128
555,13,Meru Mountain Secondary,17,Boy,2,Q2 — Low,5,2.14,No access,0.0,Yes,-1.83,3,No,Moderate,5,2,0.284,No,,Yes,1,Still enrolled,Academic Strugglers,4.83,1.907,0.484,10,,No,Yes,Yes,School Fee Support,15000.0,3.005,0.8337
556,3,Kisumu Lakeside Secondary,15,Boy,1,Q1 — Lowest,4,18.95,Shared device,1.0,Yes,-1.071,1,No,Low,8,2,0.291,No,Yes,Yes,1,Still enrolled,Academic Strugglers,2.071,2.447,0.541,8,2.5,Yes,No,No,School Fee Support,15000.0,3.683,0.6789
557,19,Isiolo North Secondary,15,Girl,4,Q4 — High,5,0.48,Shared device,1.0,Yes,0.46,0,No,Low,1,2,0.259,No,,Yes,1,Still enrolled,Stable Achievers,-0.46,0.924,0.359,1,,No,No,No,,,,0.9968
558,7,Eldoret Highlands Secondary,16,Boy,1,Q1 — Lowest,2,,,,No,-1.397,2,No,Low,3,1,0.298,No,No,Yes,1,Still enrolled,Academic Strugglers,3.397,,0.548,3,,No,No,No,School Fee Support,15000.0,3.239,0.3764
559,19,Isiolo North Secondary,15,Boy,3,Q3 — Middle,6,1.62,Shared device,1.0,Yes,-2.715,5,No,Low,11,1,0.222,Yes,No,No,0,Academic Performance,Academic Strugglers,7.715,1.181,0.372,11,1.5,No,Yes,No,Academic Tutoring / Catch-up,8000.0,2.526,0.8758
560,9,Kakamega Forest Secondary,17,Girl,5,Q5 — Highest,4,2.35,Shared device,1.0,No,0.085,2,No,High,18,0,0.148,No,No,Yes,1,Still enrolled,Health-Constrained,1.915,0.817,0.198,54,0.5,No,No,No,,,,0.9684
561,9,Kakamega Forest Secondary,15,Boy,4,Q4 — High,6,0.43,Shared device,1.0,Yes,0.049,1,No,Moderate,11,0,0.171,No,No,Yes,1,Still enrolled,Stable Achievers,0.951,0.921,0.271,22,1.5,No,No,No,,,,0.977
562,16,Kericho Highlands Secondary,16,Girl,1,Q1 — Lowest,3,2.76,No access,0.0,Yes,0.838,0,No,Moderate,7,0,0.27,No,No,Yes,1,Still enrolled,Academic Strugglers,-0.838,2.138,0.52,14,1.0,No,No,Yes,,,,0.9529
563,18,Narok Savannah Secondary,17,Boy,4,Q4 — High,4,4.91,No access,0.0,No,-0.327,1,No,Low,4,0,0.243,No,No,Yes,1,Still enrolled,Stable Achievers,1.327,1.645,0.343,4,0.0,No,No,Yes,,,,0.9352
564,4,Machakos Hilltop Secondary,16,Girl,3,Q3 — Middle,5,8.78,No access,0.0,No,-0.565,0,No,Low,4,2,0.257,No,No,Yes,1,Still enrolled,Academic Strugglers,0.565,2.039,0.407,4,0.0,Yes,No,Yes,,,,0.959
565,9,Kakamega Forest Secondary,14,Boy,4,Q4 — High,4,4.64,Personal device,2.0,Yes,0.142,1,No,Low,3,2,0.256,No,No,Yes,1,Still enrolled,Stable Achievers,0.858,0.632,0.356,3,2.0,No,No,No,,,,0.9762
566,3,Kisumu Lakeside Secondary,17,Girl,2,Q2 — Low,4,10.44,No access,0.0,Yes,-0.764,1,No,Low,4,2,0.263,No,No,Yes,1,Still enrolled,Academic Strugglers,1.764,2.322,0.463,4,1.0,Yes,No,Yes,School Fee Support,15000.0,2.719,0.8624
567,15,Embu Sunrise Secondary,17,Girl,5,Q5 — Highest,2,,Shared device,1.0,Yes,-0.62,2,No,Low,4,3,0.236,No,No,Yes,1,Still enrolled,Stable Achievers,2.62,,0.286,4,1.5,No,No,No,,,,0.9743
568,14,Bungoma West Secondary,15,Boy,3,Q3 — Middle,4,9.65,Personal device,2.0,No,0.623,1,No,Low,8,1,,No,No,Yes,1,Still enrolled,Stable Achievers,0.377,1.082,,8,1.0,Yes,No,No,,,,0.9661
569,3,Kisumu Lakeside Secondary,17,Girl,1,Q1 — Lowest,5,,Shared device,1.0,Yes,-0.809,1,No,Moderate,12,2,0.315,No,No,Yes,1,Still enrolled,Health-Constrained,1.809,,0.565,24,1.5,No,No,No,School Fee Support,15000.0,3.226,0.8642
570,18,Narok Savannah Secondary,14,Girl,2,Q2 — Low,4,3.38,Shared device,1.0,Yes,-1.034,1,No,Low,0,2,0.283,No,,Yes,1,Still enrolled,Academic Strugglers,2.034,1.469,0.483,0,,No,No,No,,,,0.92
571,20,Busia Border Secondary,15,Boy,1,Q1 — Lowest,7,11.01,No access,0.0,Yes,-2.839,4,No,Low,2,1,0.299,Yes,No,Yes,1,Still enrolled,Academic Strugglers,6.839,2.55,0.549,2,1.0,Yes,Yes,Yes,School Fee Support,15000.0,4.084,0.6286
572,18,Narok Savannah Secondary,16,Boy,1,Q1 — Lowest,2,3.44,No access,0.0,Yes,-2.636,4,No,Low,6,0,0.32,Yes,No,No,0,Academic Performance,Academic Strugglers,6.636,2.172,0.57,6,1.0,No,Yes,Yes,School Fee Support,15000.0,3.876,0.7394
573,17,Malindi Shore Secondary,13,Boy,1,Q1 — Lowest,5,7.23,Shared device,1.0,Yes,-1.491,2,No,Moderate,10,1,0.23,No,Yes,Yes,1,Still enrolled,Health-Constrained,3.491,1.861,0.48,20,2.5,No,No,No,School Fee Support,15000.0,2.642,0.8244
574,15,Embu Sunrise Secondary,17,Girl,1,Q1 — Lowest,3,11.21,No access,0.0,Yes,-1.073,0,Yes,Moderate,10,0,0.32,No,Yes,Yes,1,Still enrolled,Academic Strugglers,1.073,2.561,0.57,20,2.0,Yes,No,Yes,School Fee Support,15000.0,3.36,0.8798
575,6,Mombasa Coast Secondary,17,Girl,4,Q4 — High,7,1.8,Shared device,1.0,Yes,-0.392,0,Yes,Low,7,1,0.237,No,Yes,Yes,1,Still enrolled,Stable Achievers,0.392,0.99,0.337,7,2.5,No,No,No,,,,0.9787
576,20,Busia Border Secondary,17,Boy,3,Q3 — Middle,5,4.47,Shared device,1.0,Yes,-0.128,0,No,High,12,0,0.289,No,No,Yes,1,Still enrolled,Health-Constrained,0.128,1.323,0.439,36,1.5,No,No,No,,,,0.9698
577,7,Eldoret Highlands Secondary,13,Boy,2,Q2 — Low,4,14.7,No access,0.0,Yes,-1.878,3,No,Moderate,8,1,0.261,No,Yes,No,0,Commute Distance,Academic Strugglers,4.878,2.535,0.461,16,2.0,Yes,Yes,Yes,School Fee Support,15000.0,3.538,0.6568
578,11,Kitale Plains Secondary,13,Girl,3,Q3 — Middle,6,3.93,Shared device,1.0,Yes,-1.656,3,No,High,6,2,0.23,No,No,Yes,1,Still enrolled,Health-Constrained,4.656,1.297,0.38,18,1.5,No,Yes,No,,,,0.9312
579,15,Embu Sunrise Secondary,14,Boy,5,Q5 — Highest,4,4.85,Personal device,2.0,Yes,-0.942,2,Yes,Low,0,2,0.247,No,Yes,Yes,1,Still enrolled,Stable Achievers,2.942,0.442,0.297,0,3.0,No,No,No,,,,0.9865
580,16,Kericho Highlands Secondary,15,Boy,2,Q2 — Low,7,,No access,0.0,Yes,-1.662,1,No,Low,7,1,0.263,No,Yes,Yes,1,Still enrolled,Academic Strugglers,2.662,,0.463,7,2.0,No,No,Yes,School Fee Support,15000.0,2.778,0.9149
581,7,Eldoret Highlands Secondary,15,Boy,2,Q2 — Low,9,8.89,Shared device,1.0,Yes,-1.816,3,No,Low,5,1,,No,No,Yes,1,Still enrolled,Academic Strugglers,4.816,1.744,,5,1.5,Yes,Yes,No,Academic Tutoring / Catch-up,8000.0,2.637,0.8356
582,9,Kakamega Forest Secondary,13,Boy,1,Q1 — Lowest,3,5.42,No access,0.0,Yes,-3.909,7,No,High,13,0,0.229,Yes,No,Yes,1,Still enrolled,Health-Constrained,10.909,2.271,0.479,39,1.0,No,Yes,Yes,School Fee Support,15000.0,3.701,0.4882
583,10,Nyeri Ridge Secondary,16,Girl,1,Q1 — Lowest,4,1.99,No access,0.0,No,-0.299,0,No,Low,6,2,0.263,No,No,Yes,1,Still enrolled,Academic Strugglers,0.299,2.1,0.513,6,0.0,No,No,Yes,,,,0.9185
584,8,Thika Green Secondary,15,Boy,1,Q1 — Lowest,7,11.06,No access,0.0,No,-1.648,2,No,Moderate,5,0,0.309,No,No,Yes,1,Still enrolled,Academic Strugglers,3.648,2.553,0.559,10,0.0,Yes,No,Yes,School Fee Support,15000.0,3.626,0.731
585,7,Eldoret Highlands Secondary,14,Girl,3,Q3 — Middle,2,5.16,Personal device,2.0,No,-1.063,2,No,High,12,1,0.231,No,Yes,Yes,1,Still enrolled,Health-Constrained,3.063,0.858,0.381,36,2.0,No,No,No,,,,0.9112
586,19,Isiolo North Secondary,15,Boy,3,Q3 — Middle,3,10.27,No access,0.0,No,-2.498,5,No,Low,4,1,0.277,Yes,No,Yes,1,Still enrolled,Academic Strugglers,7.498,2.113,0.427,4,0.0,Yes,Yes,Yes,Academic Tutoring / Catch-up,8000.0,2.89,0.646
587,5,Nakuru Valley Secondary,15,Boy,3,Q3 — Middle,2,4.73,,,Yes,-1.824,2,No,High,16,1,0.295,No,No,No,0,Health Related,Health-Constrained,3.824,,0.445,48,,No,No,No,Health & Attendance Support,5000.0,2.461,0.9365
588,9,Kakamega Forest Secondary,14,Boy,4,Q4 — High,3,5.29,Shared device,1.0,Yes,-0.356,1,Yes,Moderate,11,1,0.265,No,No,No,0,Other,Stable Achievers,1.356,1.165,0.365,22,1.5,No,No,No,Health & Attendance Support,5000.0,0.816,0.9745
589,3,Kisumu Lakeside Secondary,16,Boy,1,Q1 — Lowest,10,5.89,Shared device,1.0,Yes,0.42,1,No,High,14,1,0.235,No,Yes,No,0,Health Related,Health-Constrained,0.58,1.794,0.485,42,2.5,No,No,No,School Fee Support,15000.0,2.278,0.8681
590,15,Embu Sunrise Secondary,17,Girl,3,Q3 — Middle,2,5.15,Personal device,2.0,Yes,-1.006,0,No,Low,3,2,0.191,No,No,Yes,1,Still enrolled,Stable Achievers,1.006,0.858,0.341,3,2.0,No,No,No,,,,0.9777
591,17,Malindi Shore Secondary,14,Girl,5,Q5 — Highest,6,5.31,Shared device,1.0,No,0.649,1,Yes,High,12,2,0.183,No,Yes,Yes,1,Still enrolled,Stable Achievers,0.351,0.966,0.233,36,1.5,No,No,No,,,,0.9768
592,10,Nyeri Ridge Secondary,16,Girl,3,Q3 — Middle,3,11.74,Shared device,1.0,Yes,-1.26,2,No,Low,6,0,0.236,No,No,Yes,1,Still enrolled,Academic Strugglers,3.26,1.687,0.386,6,1.5,Yes,No,No,Academic Tutoring / Catch-up,8000.0,1.464,0.8319
593,2,Nyandarua Mixed Secondary,13,Boy,4,Q4 — High,2,10.36,No access,0.0,Yes,-0.074,2,No,Low,6,2,0.177,No,Yes,Yes,1,Still enrolled,Stable Achievers,2.074,1.918,0.277,6,2.0,Yes,No,Yes,,,,0.9417
594,3,Kisumu Lakeside Secondary,14,Boy,3,Q3 — Middle,5,,Shared device,1.0,No,-0.588,2,No,High,12,0,0.239,No,No,Yes,1,Still enrolled,Health-Constrained,2.588,,0.389,36,0.5,No,No,No,,,,0.8389
595,6,Mombasa Coast Secondary,15,Girl,1,Q1 — Lowest,10,3.59,No access,0.0,No,-0.244,1,No,Moderate,6,2,0.256,No,No,Yes,1,Still enrolled,Academic Strugglers,1.244,2.18,0.506,12,0.0,No,No,Yes,,,,0.9091
596,3,Kisumu Lakeside Secondary,16,Girl,5,Q5 — Highest,3,3.9,Personal device,2.0,Yes,-0.924,2,No,Moderate,11,2,0.177,No,No,Yes,1,Still enrolled,Stable Achievers,2.924,0.395,0.227,22,2.0,No,No,No,,,,0.9728
597,5,Nakuru Valley Secondary,14,Girl,2,Q2 — Low,2,5.37,No access,0.0,No,-2.702,3,No,Low,7,0,0.292,No,No,No,0,Academic Performance,Academic Strugglers,5.702,2.069,0.492,7,0.0,No,Yes,Yes,School Fee Support,15000.0,3.422,0.7871
598,11,Kitale Plains Secondary,14,Girl,1,Q1 — Lowest,6,7.04,No access,0.0,Yes,-1.576,1,No,High,15,1,0.269,No,No,Yes,1,Still enrolled,Health-Constrained,2.576,2.352,0.519,45,1.0,No,No,Yes,School Fee Support,15000.0,3.315,0.8355
599,12,Garissa Horizon Secondary,17,Girl,3,Q3 — Middle,1,4.2,Shared device,1.0,Yes,-1.644,3,No,Low,5,1,0.253,No,Yes,Yes,1,Still enrolled,Stable Achievers,4.644,1.31,0.403,5,2.5,No,Yes,No,Academic Tutoring / Catch-up,8000.0,1.744,0.97
600,15,Embu Sunrise Secondary,14,Girl,1,Q1 — Lowest,8,13.15,No access,0.0,Yes,-1.3,1,Yes,Low,5,0,0.319,No,Yes,Yes,1,Still enrolled,Academic Strugglers,2.3,2.657,0.569,5,2.0,Yes,No,Yes,School Fee Support,15000.0,3.538,0.8466
601,19,Isiolo North Secondary,14,Boy,2,Q2 — Low,10,,Shared device,1.0,No,-1.39,3,No,Low,6,0,0.215,No,Yes,Yes,1,Still enrolled,Academic Strugglers,4.39,,0.415,6,1.5,No,Yes,No,Academic Tutoring / Catch-up,8000.0,1.992,0.9176
602,15,Embu Sunrise Secondary,16,Girl,3,Q3 — Middle,4,3.39,No access,0.0,No,-0.216,1,No,Low,3,0,0.271,No,No,No,0,Psychosocial,Academic Strugglers,1.216,1.769,0.421,3,0.0,No,No,Yes,School Fee Support,15000.0,0.998,0.9544
603,10,Nyeri Ridge Secondary,13,Girl,1,Q1 — Lowest,4,17.15,,,Yes,-3.177,4,No,Moderate,8,3,0.319,Yes,No,No,0,Academic Performance,Academic Strugglers,7.177,,0.569,16,,Yes,Yes,No,School Fee Support,15000.0,4.651,0.3912
604,7,Eldoret Highlands Secondary,16,Girl,4,Q4 — High,1,14.83,Personal device,2.0,No,-0.521,1,No,Moderate,9,0,0.234,No,Yes,Yes,1,Still enrolled,Stable Achievers,1.521,1.141,0.334,18,2.0,Yes,No,No,,,,0.8758
605,18,Narok Savannah Secondary,15,Girl,1,Q1 — Lowest,8,1.5,Shared device,1.0,No,-2.814,2,No,Moderate,11,0,0.269,No,No,No,0,Household Pressure,Health-Constrained,4.814,1.575,0.519,22,0.5,No,No,No,School Fee Support,15000.0,3.407,0.6662
606,1,Kilimani Day Secondary,16,Girl,3,Q3 — Middle,2,15.61,No access,0.0,Yes,-2.074,4,Yes,Low,6,1,0.192,Yes,No,Yes,1,Still enrolled,Academic Strugglers,6.074,2.381,0.342,6,1.0,Yes,Yes,Yes,Academic Tutoring / Catch-up,8000.0,2.601,0.7041
607,15,Embu Sunrise Secondary,17,Girl,3,Q3 — Middle,6,2.0,No access,0.0,Yes,-0.441,1,No,Moderate,9,0,0.246,No,No,Yes,1,Still enrolled,Health-Constrained,1.441,1.7,0.396,18,1.0,No,No,Yes,,,,0.965
608,11,Kitale Plains Secondary,14,Girl,2,Q2 — Low,9,5.25,Shared device,1.0,Yes,-2.335,4,No,Low,6,0,0.2,Yes,No,Yes,1,Still enrolled,Academic Strugglers,6.335,1.563,0.4,6,1.5,No,Yes,No,Academic Tutoring / Catch-up,8000.0,2.543,0.8562
609,10,Nyeri Ridge Secondary,14,Girl,5,Q5 — Highest,2,1.12,No access,0.0,No,-0.369,0,No,Low,4,1,0.184,No,No,Yes,1,Still enrolled,Stable Achievers,0.369,1.256,0.234,4,0.0,No,No,Yes,,,,0.9824
610,4,Machakos Hilltop Secondary,13,Girl,4,Q4 — High,7,7.24,Personal device,2.0,Yes,-2.116,3,No,Low,6,1,0.205,No,No,Yes,1,Still enrolled,Stable Achievers,5.116,0.762,0.305,6,2.0,No,Yes,No,,,,0.9034
611,6,Mombasa Coast Secondary,16,Girl,3,Q3 — Middle,8,8.12,Personal device,2.0,Yes,0.254,1,Yes,Low,3,1,0.195,No,No,Yes,1,Still enrolled,Stable Achievers,0.746,1.006,0.345,3,2.0,Yes,No,No,,,,0.9647
612,7,Eldoret Highlands Secondary,15,Girl,3,Q3 — Middle,3,3.93,No access,0.0,Yes,-0.065,0,No,Low,7,1,0.308,No,Yes,Yes,1,Still enrolled,Stable Achievers,0.065,1.797,0.458,7,2.0,No,No,Yes,,,,0.9599
613,1,Kilimani Day Secondary,17,Girl,4,Q4 — High,2,0.22,Shared device,1.0,No,-0.617,2,No,Moderate,10,0,0.179,No,Yes,Yes,1,Still enrolled,Stable Achievers,2.617,0.911,0.279,20,1.5,No,No,No,,,,0.9709
614,12,Garissa Horizon Secondary,16,Boy,1,Q1 — Lowest,6,7.35,,,No,-0.713,2,No,Low,5,1,0.32,No,No,Yes,1,Still enrolled,Academic Strugglers,2.713,,0.57,5,,No,No,No,School Fee Support,15000.0,3.298,0.8726
615,12,Garissa Horizon Secondary,17,Boy,4,Q4 — High,6,4.72,No access,0.0,Yes,0.519,0,Yes,Moderate,10,2,0.18,No,Yes,Yes,1,Still enrolled,Stable Achievers,-0.519,1.636,0.28,20,2.0,No,No,Yes,,,,0.984
616,8,Thika Green Secondary,17,Boy,2,Q2 — Low,5,,No access,0.0,Yes,-1.785,2,No,Low,3,0,0.218,No,No,Yes,1,Still enrolled,Academic Strugglers,3.785,,0.418,3,1.0,No,No,Yes,Academic Tutoring / Catch-up,8000.0,1.776,0.9446
617,19,Isiolo North Secondary,17,Girl,1,Q1 — Lowest,7,12.78,No access,0.0,Yes,-1.405,1,No,High,15,2,0.254,No,No,Yes,1,Still enrolled,Health-Constrained,2.405,2.639,0.504,45,1.0,Yes,No,Yes,School Fee Support,15000.0,2.888,0.7986
618,10,Nyeri Ridge Secondary,17,Girl,2,Q2 — Low,7,5.17,,,Yes,-3.076,4,No,Low,2,1,0.312,Yes,No,Yes,1,Still enrolled,Academic Strugglers,7.076,,0.512,2,,No,Yes,No,School Fee Support,15000.0,3.631,0.7
619,2,Nyandarua Mixed Secondary,17,Girl,2,Q2 — Low,5,14.14,Shared device,1.0,Yes,-0.856,1,No,Moderate,7,0,0.297,No,No,Yes,1,Still enrolled,Academic Strugglers,1.856,2.007,0.497,14,1.5,Yes,No,No,School Fee Support,15000.0,3.125,0.8012
620,2,Nyandarua Mixed Secondary,17,Boy,5,Q5 — Highest,2,4.77,Shared device,1.0,Yes,0.103,1,No,Low,8,1,0.163,No,No,Yes,1,Still enrolled,Stable Achievers,0.897,0.938,0.213,8,1.5,No,No,No,,,,0.9865
621,8,Thika Green Secondary,14,Boy,2,Q2 — Low,12,1.75,No access,0.0,Yes,0.464,2,Yes,High,7,0,0.217,No,No,Yes,1,Still enrolled,Health-Constrained,1.536,1.888,0.417,21,1.0,No,No,Yes,,,,0.9322
622,4,Machakos Hilltop Secondary,14,Girl,2,Q2 — Low,7,2.37,,,Yes,-1.091,1,Yes,Low,10,1,0.282,No,Yes,Yes,1,Still enrolled,Academic Strugglers,2.091,,0.482,10,,No,No,No,School Fee Support,15000.0,2.645,0.9633
623,18,Narok Savannah Secondary,15,Boy,4,Q4 — High,4,5.34,No access,0.0,Yes,-1.77,3,No,Moderate,14,0,0.239,No,No,No,0,Other,Health-Constrained,4.77,1.667,0.339,28,1.0,No,Yes,Yes,Health & Attendance Support,5000.0,2.104,0.8855
